,sakarya,malatya,bursa,konya ,diyarbakir ,kocaeli,istanbul ,erzurum ,maras,tekirdag ,denizli 
2019-04-20,19,14,35,19,,19,206,15,15,9,23
2019-04-21,22,12,36,16,8,12,196,7,20,4,16
2019-04-22,16,5,43,14,8,22,205,11,12,2,19
2019-04-23,22,6,38,13,,21,195,9,15,2,11
2019-04-24,7,10,44,13,11,26,194,9,15,5,12
2019-04-25,16,7,55,15,,21,214,12,14,9,18
2019-04-26,17,10,35,12,15,20,198,12,16,5,17
2019-04-27,14,15,46,14,14,27,217,4,19,3,17
2019-04-28,31,12,45,14,10,28,188,14,16,3,16
2019-04-29,19,8,57,24,,33,220,20,17,3,18
2019-04-30,17,6,51,10,24,14,230,27,10,5,10
2019-05-01,14,9,41,11,11,23,217,15,18,,24
2019-05-02,19,17,36,14,9,24,197,15,24,5,23
2019-05-03,15,6,44,18,,26,217,14,15,5,23
2019-05-04,23,12,27,13,11,21,214,17,14,4,14
2019-05-05,15,10,41,15,18,17,193,9,10,6,19
2019-05-06,15,6,44,15,,16,233,12,17,4,23
2019-05-07,24,6,44,18,,24,198,17,15,3,14
2019-05-08,21,12,40,20,11,22,175,14,11,3,21
2019-05-09,15,9,34,14,13,27,207,10,17,3,19
2019-05-10,14,4,47,8,17,23,220,17,9,4,15
2019-05-11,14,11,46,13,16,13,169,21,13,3,16
2019-05-12,16,10,44,11,13,15,214,7,18,3,16
2019-05-13,20,11,41,10,10,30,205,12,8,3,23
2019-05-14,20,7,50,14,,21,213,14,15,2,13
2019-05-15,17,12,44,12,,20,192,15,18,7,24
2019-05-16,18,16,49,11,20,26,202,9,14,4,24
2019-05-17,24,8,42,11,,17,210,7,21,9,23
2019-05-18,17,10,30,8,16,24,188,13,14,6,16
2019-05-19,21,6,37,12,17,27,181,14,12,5,17
2019-05-20,17,9,47,15,9,20,190,16,17,6,18
2019-05-21,25,12,36,12,14,20,223,12,18,3,23
2019-05-22,10,7,55,12,,16,190,17,10,4,14
2019-05-23,16,13,35,15,18,25,191,13,12,2,16
2019-05-24,20,11,41,16,12,21,220,14,28,7,13
2019-05-25,24,5,41,14,12,34,193,15,15,3,19
2019-05-26,19,7,41,9,9,30,170,12,14,5,21
2019-05-27,15,6,51,15,,26,190,9,19,3,14
2019-05-28,21,8,50,14,19,21,200,11,17,2,25
2019-05-29,20,12,50,12,10,26,211,20,15,1,20
2019-05-30,18,9,45,14,10,25,223,9,11,3,18
2019-05-31,13,11,41,14,,21,198,11,21,3,17
2019-06-01,27,13,37,17,19,28,204,20,10,2,19
2019-06-02,19,7,50,16,12,16,194,15,18,2,17
2019-06-03,17,8,31,17,21,21,172,13,27,3,18
2019-06-04,17,6,43,14,12,18,191,12,15,3,15
2019-06-05,16,18,39,17,,26,219,14,8,3,17
2019-06-06,20,8,43,16,12,17,190,8,12,5,20
2019-06-07,16,10,45,15,13,23,183,13,14,3,21
2019-06-08,29,7,47,16,,22,214,19,19,5,16
2019-06-09,16,10,42,17,11,23,182,18,11,7,14
2019-06-10,13,14,52,16,9,23,240,14,13,6,17
2019-06-11,28,12,42,18,18,24,193,13,15,7,20
2019-06-12,23,5,40,13,17,23,183,14,10,3,12
2019-06-13,15,11,35,15,23,27,177,17,14,1,17
2019-06-14,25,8,30,13,11,26,219,14,11,3,12
2019-06-15,14,10,39,12,18,21,165,13,8,5,15
2019-06-16,18,5,39,10,15,24,196,14,14,5,16
2019-06-17,13,11,40,15,13,16,232,22,20,6,18
2019-06-18,21,9,44,12,,19,204,15,12,2,20
2019-06-19,18,7,44,15,13,27,176,19,15,3,18
2019-06-20,15,6,32,22,,21,179,13,14,4,17
